Year,Area,River,run,escapement,areaID,runID,rivID
1976,ColRiver,Above Bonneville,Spring,14357,3,1,1
1977,ColRiver,Above Bonneville,Spring,14357,3,1,1
1978,ColRiver,Above Bonneville,Spring,14357,3,1,1
1979,ColRiver,Above Bonneville,Spring,14357,3,1,1
1980,ColRiver,Above Bonneville,Spring,14357,3,1,1
1981,ColRiver,Above Bonneville,Spring,26365,3,1,1
1982,ColRiver,Above Bonneville,Spring,26365,3,1,1
1983,ColRiver,Above Bonneville,Spring,26365,3,1,1
1984,ColRiver,Above Bonneville,Spring,26365,3,1,1
1985,ColRiver,Above Bonneville,Spring,26365,3,1,1
1986,ColRiver,Above Bonneville,Spring,38810,3,1,1
1987,ColRiver,Above Bonneville,Spring,38810,3,1,1
1988,ColRiver,Above Bonneville,Spring,38810,3,1,1
1989,ColRiver,Above Bonneville,Spring,38810,3,1,1
1990,ColRiver,Above Bonneville,Spring,38810,3,1,1
1991,ColRiver,Above Bonneville,Spring,21284,3,1,1
1992,ColRiver,Above Bonneville,Spring,21284,3,1,1
1993,ColRiver,Above Bonneville,Spring,21284,3,1,1
1994,ColRiver,Above Bonneville,Spring,21284,3,1,1
1995,ColRiver,Above Bonneville,Spring,21284,3,1,1
1996,ColRiver,Above Bonneville,Spring,9089,3,1,1
1997,ColRiver,Above Bonneville,Spring,50229,3,1,1
1998,ColRiver,Above Bonneville,Spring,17110,3,1,1
1999,ColRiver,Above Bonneville,Spring,10017,3,1,1
2000,ColRiver,Above Bonneville,Spring,51435,3,1,1
2001,ColRiver,Above Bonneville,Spring,222102,3,1,1
2002,ColRiver,Above Bonneville,Spring,117924,3,1,1
2003,ColRiver,Above Bonneville,Spring,100177,3,1,1
2004,ColRiver,Above Bonneville,Spring,91279,3,1,1
2005,ColRiver,Above Bonneville,Spring,49277,3,1,1
2006,ColRiver,Above Bonneville,Spring,41312,3,1,1
2007,ColRiver,Above Bonneville,Spring,41360,3,1,1
2008,ColRiver,Above Bonneville,Spring,94038,3,1,1
2009,ColRiver,Above Bonneville,Spring,83413,3,1,1
2010,ColRiver,Above Bonneville,Spring,149652,3,1,1
2011,ColRiver,Above Bonneville,Spring,115279,3,1,1
2012,ColRiver,Above Bonneville,Spring,95249,3,1,1
2013,ColRiver,Above Bonneville,Spring,52804,3,1,1
2014,ColRiver,Above Bonneville,Spring,106661,3,1,1
2015,ColRiver,Above Bonneville,Spring,133360,3,1,1
1971,ColRiver,Below Bonneville,Summer,19900,3,2,2
1972,ColRiver,Below Bonneville,Summer,19900,3,2,2
1973,ColRiver,Below Bonneville,Summer,19900,3,2,2
1974,ColRiver,Below Bonneville,Summer,19900,3,2,2
1975,ColRiver,Below Bonneville,Summer,19900,3,2,2
